Employee_ID,Employee_Name,Email,Joining_Date,Department,Salary,Position,Comments,Phone_Number,Last_Updated
1,Employee 1,employee1@company.com,07/03/2024,IT,4228,Marketing Manager,Random comment,806-803-4195,14/10/2024 21:37
2,Employee 2,employee2@company.com,06/02/2023,HR,5404,HR Specialist,Random comment,459-810-9494,30/09/2024 21:37
3,Employee 3,employee3@company.com,06/02/2021,Sales,4897,Financial Analyst,Random comment,352-699-7362,06/10/2024 21:37
4,Employee 4,employee4@company.com,02/05/2020,Sales,7779,HR Specialist,Random comment,144-424-6627,20/10/2024 21:37
5,Employee 5,employee5@company.com,15/05/2022,IT,4546,Software Engineer,Random comment,906-602-1876,23/10/2024 21:37
6,Employee 6,employee6@company.com,29/10/2022,IT,6356,Financial Analyst,Random comment,277-744-6858,06/10/2024 21:37
7,Employee 7,employee7@company.com,23/05/2022,HR,6077,Financial Analyst,Random comment,799-700-9737,29/09/2024 21:37
8,Employee 8,employee8@company.com,18/12/2021,Marketing,6246,HR Specialist,Random comment,366-823-6792,07/10/2024 21:37
9,Employee 9,employee9@company.com,13/10/2024,IT,4478,Sales Executive,Random comment,122-232-3240,28/09/2024 21:37
10,Employee 10,employee10@company.com,12/08/2024,Marketing,5980,Marketing Manager,Random comment,932-202-1816,04/10/2024 21:37
11,Employee 11,employee11@company.com,30/01/2020,Finance,6494,Marketing Manager,Random comment,152-777-6260,07/10/2024 21:37
12,Employee 12,employee12@company.com,21/03/2024,Marketing,7400,Software Engineer,Random comment,845-460-3224,14/10/2024 21:37
13,Employee 13,employee13@company.com,22/03/2021,Finance,7795,Sales Executive,Random comment,159-672-4553,26/09/2024 21:37
14,Employee 14,employee14@company.com,24/11/2022,Finance,6088,Financial Analyst,Random comment,218-930-5127,30/09/2024 21:37
15,Employee 15,employee15@company.com,14/03/2021,IT,4237,Software Engineer,Random comment,181-973-7313,26/10/2024 21:37
16,Employee 16,employee16@company.com,16/07/2022,Finance,7256,Marketing Manager,Random comment,317-958-7036,05/10/2024 21:37
17,Employee 17,employee17@company.com,17/12/2023,HR,7247,Marketing Manager,Random comment,423-546-6632,07/10/2024 21:37
18,Employee 18,employee18@company.com,04/03/2023,Marketing,4196,Financial Analyst,Random comment,239-835-2707,19/10/2024 21:37
19,Employee 19,employee19@company.com,13/09/2023,HR,4546,Sales Executive,Random comment,820-843-3422,26/09/2024 21:37
20,Employee 20,employee20@company.com,12/11/2020,Marketing,7057,Financial Analyst,Random comment,674-892-7838,19/10/2024 21:37
21,Employee 21,employee21@company.com,28/08/2020,IT,5295,Software Engineer,Random comment,271-875-8815,08/10/2024 21:37
22,Employee 22,employee22@company.com,07/04/2020,Finance,5730,HR Specialist,Random comment,925-693-4269,27/09/2024 21:37
23,Employee 23,employee23@company.com,13/04/2020,HR,5108,Financial Analyst,Random comment,826-177-7587,09/10/2024 21:37
24,Employee 24,employee24@company.com,14/01/2022,Sales,5716,Software Engineer,Random comment,667-266-6236,02/10/2024 21:37
25,Employee 25,employee25@company.com,02/02/2023,IT,6341,HR Specialist,Random comment,333-929-6468,18/10/2024 21:37
26,Employee 26,employee26@company.com,27/05/2021,Finance,6559,Marketing Manager,Random comment,842-725-5656,19/10/2024 21:37
27,Employee 27,employee27@company.com,18/02/2023,IT,6360,Sales Executive,Random comment,112-804-2845,26/10/2024 21:37
28,Employee 28,employee28@company.com,06/08/2024,Sales,5400,Software Engineer,Random comment,466-935-9214,02/10/2024 21:37
29,Employee 29,employee29@company.com,11/08/2024,HR,6319,Financial Analyst,Random comment,388-911-6383,08/10/2024 21:37
30,Employee 30,employee30@company.com,04/02/2020,HR,5352,Software Engineer,Random comment,210-719-2641,22/10/2024 21:37
31,Employee 31,employee31@company.com,18/01/2022,Finance,6160,Software Engineer,Random comment,298-327-1572,29/09/2024 21:37
32,Employee 32,employee32@company.com,13/06/2024,HR,4193,HR Specialist,Random comment,366-164-1987,15/10/2024 21:37
33,Employee 33,employee33@company.com,25/03/2020,Finance,4626,HR Specialist,Random comment,213-324-1167,09/10/2024 21:37
34,Employee 34,employee34@company.com,03/09/2021,Finance,7371,Sales Executive,Random comment,665-957-8783,22/10/2024 21:37
35,Employee 35,employee35@company.com,22/03/2021,HR,4514,Marketing Manager,Random comment,757-861-6962,21/10/2024 21:37
36,Employee 36,employee36@company.com,03/09/2023,HR,4775,Financial Analyst,Random comment,931-858-7838,17/10/2024 21:37
37,Employee 37,employee37@company.com,23/06/2021,HR,5570,Software Engineer,Random comment,999-934-6755,17/10/2024 21:37
38,Employee 38,employee38@company.com,16/12/2021,Finance,7232,Software Engineer,Random comment,944-982-5056,16/10/2024 21:37
39,Employee 39,employee39@company.com,23/06/2022,Finance,5665,Sales Executive,Random comment,590-413-8069,02/10/2024 21:37
40,Employee 40,employee40@company.com,12/09/2022,Sales,7832,Financial Analyst,Random comment,727-208-8880,25/10/2024 21:37
41,Employee 41,employee41@company.com,20/10/2023,IT,5913,Marketing Manager,Random comment,873-860-3457,29/09/2024 21:37
42,Employee 42,employee42@company.com,09/12/2019,Sales,4351,HR Specialist,Random comment,354-402-1365,18/10/2024 21:37
43,Employee 43,employee43@company.com,22/06/2020,Finance,4122,Financial Analyst,Random comment,456-560-1832,17/10/2024 21:37
44,Employee 44,employee44@company.com,01/04/2024,Marketing,7280,Financial Analyst,Random comment,501-340-3047,15/10/2024 21:37
45,Employee 45,employee45@company.com,18/04/2021,IT,6756,Financial Analyst,Random comment,116-114-5256,05/10/2024 21:37
46,Employee 46,employee46@company.com,20/01/2023,Marketing,4009,Software Engineer,Random comment,248-542-2533,05/10/2024 21:37
47,Employee 47,employee47@company.com,07/03/2022,HR,6691,Financial Analyst,Random comment,369-116-5326,23/10/2024 21:37
48,Employee 48,employee48@company.com,18/03/2022,Marketing,4237,Marketing Manager,Random comment,401-942-3800,12/10/2024 21:37
49,Employee 49,employee49@company.com,27/06/2021,Marketing,4818,Sales Executive,Random comment,473-632-8172,14/10/2024 21:37
